date,open,high,low,close,volume,dividend,ratio
2019-01-28,0.041071,0.041222,0.037121,0.03874,23657922.0,0.0,1
2019-01-29,0.03876,0.039324,0.037034,0.038254,19558423.0,0.0,1
2019-01-30,0.038211,0.039807,0.037783,0.039568,19169721.0,0.0,1
2019-01-31,0.039568,0.040166,0.037817,0.038256,19263382.0,0.0,1
2019-02-01,0.038265,0.038878,0.036992,0.038607,15025675.0,0.0,1
2019-02-02,0.038561,0.039171,0.038127,0.039171,9161391.0,0.0,1
2019-02-03,0.039136,0.039191,0.03779,0.038019,9259286.0,0.0,1
2019-02-04,0.03812,0.038591,0.037745,0.037837,10204415.0,0.0,1
2019-02-05,0.037835,0.038361,0.037352,0.03799,11136887.0,0.0,1
2019-02-06,0.037955,0.038007,0.036044,0.036662,13371297.0,0.0,1
2019-02-07,0.036656,0.036991,0.03627,0.03627,11855649.0,0.0,1
2019-02-08,0.036279,0.041595,0.036088,0.040421,17211982.0,0.0,1
2019-02-09,0.040291,0.041774,0.040129,0.040877,26352796.0,0.0,1
2019-02-10,0.040813,0.042607,0.039661,0.042607,15240354.0,0.0,1
2019-02-11,0.042552,0.042552,0.041115,0.041406,19729964.0,0.0,1
2019-02-12,0.041428,0.041622,0.040278,0.041367,13080456.0,0.0,1
2019-02-13,0.041319,0.041954,0.040673,0.040843,12502507.0,0.0,1
2019-02-14,0.040767,0.041006,0.039848,0.040158,10478822.0,0.0,1
2019-02-15,0.040132,0.041155,0.039872,0.040421,10695089.0,0.0,1
2019-02-16,0.040455,0.041315,0.040448,0.040852,11056787.0,0.0,1
2019-02-17,0.040801,0.041343,0.040173,0.041087,10336228.0,0.0,1
2019-02-18,0.041052,0.046262,0.040996,0.044991,24543758.0,0.0,1
2019-02-19,0.044956,0.047564,0.044956,0.045574,43553026.0,0.0,1
2019-02-20,0.045605,0.047035,0.044696,0.046628,31958334.0,0.0,1
2019-02-21,0.046664,0.047241,0.04396,0.04439,23396928.0,0.0,1
2019-02-22,0.044469,0.045935,0.043708,0.045858,25220266.0,0.0,1
2019-02-23,0.045837,0.048734,0.045545,0.048098,31219246.0,0.0,1
2019-02-24,0.048481,0.050095,0.041891,0.042601,56410600.0,0.0,1
2019-02-25,0.04234,0.044526,0.04234,0.044012,58078806.0,0.0,1
2019-02-26,0.043952,0.043973,0.042731,0.043187,37555815.0,0.0,1
2019-02-27,0.04326,0.043621,0.042278,0.043341,27926892.0,0.0,1
2019-02-28,0.043241,0.043704,0.042864,0.043181,28613518.0,0.0,1
2019-03-01,0.043195,0.043775,0.042905,0.043164,21748972.0,0.0,1
2019-03-02,0.043094,0.043362,0.042325,0.042789,21426145.0,0.0,1
2019-03-03,0.042692,0.043061,0.042271,0.042771,18312467.0,0.0,1
2019-03-04,0.042869,0.04327,0.039932,0.040613,26463159.0,0.0,1
2019-03-05,0.040642,0.043212,0.040472,0.042865,29468409.0,0.0,1
2019-03-06,0.042873,0.043203,0.042113,0.04266,33084914.0,0.0,1
2019-03-07,0.042626,0.043531,0.042328,0.042805,30550871.0,0.0,1
2019-03-08,0.042811,0.0435,0.042263,0.042499,30691467.0,0.0,1
2019-03-09,0.042507,0.046698,0.042507,0.046481,47542858.0,0.0,1
2019-03-10,0.046543,0.046543,0.044217,0.045324,64734481.0,0.0,1
2019-03-11,0.045277,0.0482,0.044618,0.047499,55134162.0,0.0,1
2019-03-12,0.047363,0.048193,0.045884,0.04743,75306949.0,0.0,1
2019-03-13,0.047395,0.048458,0.046057,0.046539,57334738.0,0.0,1
2019-03-14,0.046609,0.048007,0.046253,0.047818,43342483.0,0.0,1
2019-03-15,0.04785,0.050642,0.047706,0.049778,57728641.0,0.0,1
2019-03-16,0.049909,0.051708,0.049396,0.051276,70274528.0,0.0,1
