Date,Open,High,Low,Close,Adj Close,Volume
2021-05-20,644.414551,823.261658,564.553528,756.067078,756.067078,71327
2021-05-21,754.025635,794.488647,533.151672,601.274292,601.274292,54997
2021-05-22,602.282959,638.757996,563.341614,574.104858,574.104858,15277
2021-05-23,574.309265,591.572144,415.001587,499.639984,499.639984,10477
2021-05-24,499.717010,703.258606,468.183105,697.436707,697.436707,61279
2021-05-25,697.214539,725.007813,643.319580,713.159302,713.159302,1607
2021-05-26,713.053955,887.059753,689.809509,887.059753,887.059753,60415
2021-05-27,887.061279,888.978027,784.557251,791.364807,791.364807,40288
2021-05-28,792.911926,816.591064,676.485779,713.111755,713.111755,39309
2021-05-29,712.602173,757.517090,635.545898,655.732422,655.732422,4604
2021-05-30,661.403809,765.342468,626.906189,730.277954,730.277954,16429
2021-05-31,729.424866,807.916748,696.550842,807.432739,807.432739,15474
2021-06-01,807.641968,814.128235,752.453369,776.152283,776.152283,2681
2021-06-02,776.093018,778.641785,730.191162,753.468872,753.468872,14737
2021-06-03,753.605652,806.981567,742.965759,796.575439,796.575439,1284
2021-06-04,796.690247,798.845459,683.294739,715.335144,715.335144,17375
2021-06-05,712.977844,747.063477,670.146362,687.486206,687.486206,8477
2021-06-06,685.237610,703.103699,677.720520,688.519409,688.519409,5007
2021-06-07,688.908203,788.897217,647.236572,647.643127,647.643127,15008
2021-06-08,646.641724,654.201843,578.620422,625.405701,625.405701,313
2021-06-09,625.422546,640.130371,591.565735,636.872131,636.872131,5075
2021-06-10,635.605042,654.376526,591.127380,609.932922,609.932922,494
2021-06-11,609.734070,621.592224,578.507935,585.606018,585.606018,4790
2021-06-12,585.840576,590.945007,551.358337,573.663025,573.663025,4812
2021-06-13,573.639893,610.658020,563.145325,603.757385,603.757385,1038
2021-06-14,604.203735,631.550659,586.606323,615.862244,615.862244,740
2021-06-15,635.355957,669.976868,628.549377,654.909180,654.909180,11820
2021-06-16,656.080322,663.717773,608.489441,609.714172,609.714172,4811
2021-06-17,609.701416,634.409241,599.407959,613.581787,613.581787,0
2021-06-18,613.568665,614.820984,557.352234,576.150574,576.150574,45
2021-06-19,576.616760,589.855225,560.597046,562.217407,562.217407,0
2021-06-20,562.577637,589.590271,522.376343,583.388550,583.388550,12226
2021-06-21,583.618103,585.694519,468.987183,473.841248,473.841248,6350
2021-06-22,473.788025,479.495789,400.723145,430.883240,430.883240,13835
2021-06-23,430.944550,470.540100,423.717926,459.050385,459.050385,620
2021-06-24,451.033661,471.973755,433.674713,460.518127,460.518127,1068
2021-06-25,462.479858,479.609253,422.826691,425.524475,425.524475,4695
