,Date,ADA_close,AVAX_close,FLOW_close,MANA_close,MATIC_close,SOL_close,TFUEL_close,Number of sales,Sales USD,Average USD,Active market wallets,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
32,2017-11-03,0.022774749,2.3685695788024037,0.9231163928433388,0.0105732390932067,0.004108022425753,0.9231864694319988,0.0084565558761489,0,0.0,,0,0,0,0.0,0.0,0,0
33,2017-11-04,0.022038086,2.540063440269717,0.9899536925407056,0.0113387836719005,0.0044054595941992,0.9900288429532024,0.0090688441681602,3,86.99,29.0,4,0,3,0.0,86.99,2,2
34,2017-11-05,0.021960792,3.4850821963764176,1.3582613467104432,0.0155573252529897,0.0060444902891753,1.358364456483408,0.0124428653438716,0,0.0,,0,0,0,0.0,0.0,0,0
35,2017-11-06,0.022052455,3.591094490642272,1.3995781345116372,0.0160305616502329,0.0062283569089897,1.3996843807683284,0.0128213633614267,0,0.0,,0,0,0,0.0,0.0,0,0
36,2017-11-07,0.022295586,3.138235955393255,1.223082944643176,0.0140090117614564,0.0054429237787384,1.2231757926102076,0.011204512608298,1,265.71,265.71,2,0,1,0.0,265.71,1,1
37,2017-11-08,0.02515514,3.013542879065793,1.1744855870387836,0.0134523847908676,0.0052266574049432,1.174574745831768,0.0107593181851453,0,0.0,,0,0,0,0.0,0.0,0,0
38,2017-11-09,0.032665186,3.392039312546689,1.3219992026428544,0.015141984,0.0058831176798375,1.3220995596455585,0.0121106722966308,2,148.27,74.14,2,0,2,0.0,148.27,1,1
39,2017-11-10,0.02728653,3.515944498356184,1.370289491094873,0.013101305,0.0060980175445187,1.3703935139610657,0.0125530536970001,0,0.0,,0,0,0,0.0,0.0,0,0
40,2017-11-11,0.02733349,3.270954365331966,1.2748080621752829,0.011955572,0.0056731092076225,1.274904836754183,0.0116783600559241,0,0.0,,0,0,0,0.0,0.0,0,0
41,2017-11-12,0.024514888,3.5108734596120965,1.3683131256820498,0.010411776,0.0060892223876996,1.368416998516299,0.0125349484562365,1,91.11,91.11,2,0,1,0.0,91.11,1,1
42,2017-11-13,0.025775407,3.2869304804762267,1.2810345264158125,0.011404484,0.0057008180154517,1.2811317736646566,0.011735399929952,2,63.07,31.53,4,0,2,0.0,63.07,2,2
43,2017-11-14,0.02632349,2.791771557537181,1.0880533605178706,0.01156887,0.004842019533047,1.0881359579761938,0.0099675231756094,1,67.79,67.79,2,0,1,0.0,67.79,1,1
44,2017-11-15,0.026658619,2.79974062728168,1.0911591924016772,0.012004364,0.004855841004671,1.0912420256331976,0.0099959753199663,2,137.06,68.53,4,0,2,0.0,137.06,2,2
45,2017-11-16,0.027723101,2.728241649350568,1.0632934800365268,0.011855861,0.0047318339214981,1.0633741978965965,0.0097407009521059,0,0.0,,0,0,0,0.0,0.0,0,0
46,2017-11-17,0.025460807,2.863450471830977,1.1159892005278025,0.012061862,0.0049663386959747,1.1160739186811803,0.0102234399742089,0,0.0,,0,0,0,0.0,0.0,0,0
