Date,Open,High,Low,Close,Volume,Market Cap
2021-04-26,27.97,31.28,27.87,31.27,75693001.46996768,1012421356.017738
2021-04-27,31.293546836,34.49,30.63,33.945869625,134127506.08580431,1117330191.9080482
2021-04-28,34.12641409,34.84,31.249603877,33.481295881,140291105.34977645,1122016557.314131
2021-04-29,33.950797687,33.950797687,31.73,32.147037403,99299310.56885314,1102366970.9334369
2021-04-30,32.08,32.72,31.26,32.72,80939421.58625542,1083647147.6267395
2021-05-01,32.65,32.83,31.569179107,31.93,58723630.14559564,1094471611.6227307
2021-05-02,31.93,31.93,30.64,31.29,51473296.6434501,1063568392.0641192
2021-05-03,31.23,32.66,31.22,32.26,59482378.497607656,1085232747.044354
2021-05-04,32.26,40.04,31.444504009,32.337681112,204660600.4204972,1164554884.147414
2021-05-05,32.323821067,33.25,31.74,33.25,79371252.35933325,1100775698.0422502
2021-05-06,33.25,33.25,29.653183732,30.51,78028272.34837358,1055653317.425718
2021-05-07,30.51,30.57,28.08,29.35,83054648.58267337,996110212.7217312
2021-05-08,29.47,31.13,28.56,28.69,62709662.17248645,997396568.2550792
2021-05-09,28.69,28.85,26.24,27.5,54001267.23436157,938954305.376993
2021-05-10,27.5,28.84,25.43,26.08,73741369.94431707,935240270.7835397
2021-05-11,26.08,27.51,25.650248051,27.42,64535428.27514181,903693014.4089212
2021-05-12,27.46,28.180807241,25.08,25.11,40558690.01770355,924216643.2886662
2021-05-13,24.823015581,25.24,23.23,24.03,64060803.908852,820877670.3157259
2021-05-14,24.119336761,25.49,24.119336761,24.99,42366301.4176035,850165523.803768
2021-05-15,24.99,26.14,24.17,24.53,44363243.16362523,846932643.6513597
2021-05-16,24.53,25.47,22.72,23.54,44847638.51507032,832223865.8514696
2021-05-17,23.59,24.04,20.06,20.23,65759382.609015234,729372956.4484658
2021-05-18,20.28,22.04,19.98,20.944409876,82382469.86324649,709035952.6169102
2021-05-19,21.04,21.11,12.24,14.687872504,102430608.83866906,697696350.7649801
2021-05-20,14.608179433,16.52,12.710065763,16.06,138040260.55600026,645775396.6249919
2021-05-21,16.26,17.71,13.71,15.0,90120377.6061776,671427137.3189602
2021-05-22,15.0,15.03,13.33,13.8,74153055.1147541,589700171.7161574
2021-05-23,13.8,14.13,10.68,11.54,54472594.38461538,516062721.9258848
2021-05-24,11.652012596538222,13.63,11.652012596538222,13.5,77941142.304,538943592.1415743
2021-05-25,13.576175675348363,16.97,12.99,14.556016466694826,88398334.0735294,602878135.5527885
2021-05-26,14.566637770293127,16.07244964563202,14.004426952181811,15.19,96072972.3015873,644162756.5848262
2021-05-27,15.2,15.2,14.59,14.69,42402232.83050848,629125987.6427346
2021-05-28,14.68,14.84,13.04,13.21,32117820.80172414,581832908.7516451
